,,,,,,,,,,,,,,,
,ppt,Precip (mm/mon),,,,,,,,,,,,,
IA,70,tmean,2000,-2.72,1.51,6.72,10.35,18.26,20.9,23.16,24.34,19.48,13.81,0.47,-10.63
IA,70,tmean,2001,-5.01,-6.57,0.3,12.41,17.09,20.63,25.25,23.73,17.66,11.42,9.65,0.44
IA,70,tmean,2002,-1.41,-0.63,0.61,10.47,14.89,23.82,25.79,23.05,19.38,8.7,2.17,-0.6
IA,70,tmean,2003,-5.8,-5.06,3.13,11.38,15,19.94,24.27,24.72,16.43,12.66,2.98,-0.63
IA,70,tmean,2004,-6.61,-4.7,5.91,11.48,17.14,19.79,21.84,19.93,20.03,12.4,5.54,-1.69
IA,70,tmean,2005,-6.29,0.54,3.82,11.99,15.73,23.06,24.69,23.11,20.68,12.08,5.51,-5.06
IA,70,tmean,2006,1.77,-1.96,3.61,13.1,16.82,22.44,25.03,23.14,16.35,10.06,5.02,0.58
IA,70,tmean,2007,-5.15,-6.93,7.38,8.95,18.89,22.15,24.53,25,18.71,13.94,4.05,-5.21
IA,70,tmean,2008,-6.95,-6.36,2.11,7.82,15.15,21.69,23.78,22.26,18.03,11.54,3.95,-5.82
IA,70,tmean,2009,-7.41,-0.99,3.37,8.78,16.31,21.41,20.84,20.96,17.48,7.59,6.9,-6.55
IA,70,tmean,2010,-9.49,-7.25,3.19,13.31,15.57,22.63,24.33,24.41,18.25,12.9,4,-5.07
IA,70,tmean,2011,-8.47,-4.36,3.08,9.69,15.83,21.9,26.64,23.21,16.19,12.45,4.52,-1.29
IA,70,tmean,2012,-1.75,-1.35,11.85,12.89,19.25,22.75,27.41,22.78,17.4,10.2,5.18,-1.5
IA,70,tmean,2013,-3.81,-3.12,-0.03,6.95,15.5,21,22.81,22.76,20.43,10.73,2.21,-6.45
IA,70,tmean,2014,-7.37,-7.87,0.62,9.68,16.58,21.91,21.39,22.68,17.5,12.09,-0.13,-1.04
IA,70,tmean,2015,-3.98,-7.73,4.49,11.11,15.55,21.72,23.21,21.45,20.99,12.9,6.89,0.72
IA,70,tmin,1950,-12.71,-9.42,-5,0.57,9.4,14.34,14.78,14.22,10.31,7.23,-4.43,-10.74
IA,70,tmin,1951,-11.27,-8.13,-6.01,2.03,10.55,13.43,17,16.4,10.21,6,-5.11,-10.84
IA,70,tmin,1952,-10.39,-3.55,-4.14,3.4,9.74,18.11,17.77,16.13,11.83,1,-2.53,-7.43
IA,70,tmin,1953,-8.58,-5.35,-1.45,1.31,9.53,17.39,17.82,16.37,10.75,7.22,-0.42,-6.18
IA,70,tmin,1954,-12.89,-2.24,-4.13,5.59,7.26,17.61,20.09,18.22,13.53,6.95,0.01,-5.75
IA,70,tmin,1955,-10.03,-11.36,-4.29,6.87,10.91,13.39,20.73,18.1,13.01,5.25,-6,-10.24
IA,70,tmin,1956,-10.68,-9.21,-4.08,1.24,11.15,17.01,16.96,17.34,10.48,7.99,-1.71,-6.15
IA,70,tmin,1957,-13.56,-5.66,-3.08,3.93,9.63,14.83,20.24,17.62,10.48,5.01,-1.84,-4.63
IA,70,tmin,1958,-8.23,-12.76,-3.05,3.65,10.45,13.83,16.73,17.2,12.98,5.84,-0.91,-9.95
IA,70,tmin,1959,-13.64,-10,-1.82,3.02,11.85,16.14,16,19.45,12.08,3.97,-5.64,-3.25
IA,70,tmin,1960,-10.61,-10.7,-10.93,5.15,9.1,14.56,16.55,17.07,12.93,5.51,-1.75,-8.44
IA,70,tmin,1961,-11.8,-6.4,-1.06,1.66,8.42,14.2,17.3,16.13,10.84,5.61,-1.96,-11.75
IA,70,tmin,1962,-14.05,-7.78,-5.94,2.33,14.05,14.99,17.28,16.18,10.52,7.51,-0.41,-7.73
IA,70,tmin,1963,-15.84,-10.04,-0.32,5.51,10.31,17.41,18.84,16.72,13.26,10.41,0.05,-14.11
IA,70,tmin,1964,-7.78,-7.64,-5.42,4.77,12.86,14.97,19.01,14.47,12.26,3.42,0.5,-9.89
IA,70,tmin,1965,-11.13,-12.21,-7.97,4.11,12.35,15.38,17.46,15.45,10.42,5.96,-1.08,-3.9
IA,70,tmin,1966,-13.25,-9.7,-1.23,1.72,7.48,14.71,19.63,14.24,10.21,3.9,-2.08,-8.9
IA,70,tmin,1967,-10.23,-10.09,-1.76,4.98,8.04,14.84,15.59,14.45,9.63,4.87,-2.84,-6.32
IA,70,tmin,1968,-11.69,-8.68,-1.43,4,7.58,15.91,17.52,17.28,11.43,6.22,-2.58,-9.4
IA,70,tmin,1969,-12.02,-7.27,-6.03,4.08,10.86,12.77,19.09,17,12.48,4.13,-1.93,-8.19
IA,70,tmin,1970,-14.74,-8.24,-4.28,3.63,12.16,15.75,17.3,17.41,12.51,5.19,-2.11,-6.81
IA,70,tmin,1971,-13.33,-9.9,-3.73,4.36,8.35,17.82,15.8,15.44,12.06,8.5,-0.46,-5.3
IA,70,tmin,1972,-12.14,-10.59,-2.16,3.14,10.5,14.55,17.23,16.61,12.8,3.58,-1.21,-10.9
IA,70,tmin,1973,-10.16,-6.4,2.18,3.51,8.66,15.54,17.67,17.55,12.88,7.99,-0.11,-9.26
IA,70,tmin,1974,-12.33,-6.87,-1.05,4.57,10.38,13.34,18.92,14.59,8.16,5.62,-0.81,-6.64
IA,70,tmin,1975,-10.7,-10.03,-6.33,2.71,11.03,15.13,17.25,18.19,9.72,5.15,0.52,-6.18
IA,70,tmin,1976,-10.87,-4.45,-1.65,5.96,7.76,14.31,17.75,16.15,11.07,1.7,-6.81,-12.1
IA,70,tmin,1977,-18.21,-8.48,0.67,6.91,13.68,15.73,18.72,15.62,13,5.16,-1.22,-9.35
IA,70,tmin,1978,-16.36,-15.65,-5.98,5.06,9.65,15.09,17.77,16.27,13.97,3.8,-1.59,-9.62
IA,70,tmin,1979,-18.16,-16.37,-3.16,2.78,8.61,14.34,17.04,16.54,11,4.16,-2.58,-6.56
IA,70,tmin,1980,-8.85,-10.59,-4.57,3.21,9.01,15.47,19.45,18.05,11.76,2.36,-2.07,-7.82
IA,70,tmin,1981,-10.17,-8.51,-2.22,7.05,8.41,15.62,18.47,15.29,10.93,4.58,-0.14,-8.89
IA,70,tmin,1982,-17.18,-10.46,-3.85,1.73,11.74,12.64,18.1,16.65,12.23,6.01,-1.92,-5.25
IA,70,tmin,1983,-7.03,-4.57,-1.16,1.76,7.95,15.26,19.34,20.14,12.42,6.16,0.47,-17.29
IA,70,tmin,1984,-11.63,-3.54,-4.65,3.64,8.53,16.49,16.9,17.17,11.06,6.51,-1.15,-6.91
IA,70,tmin,1985,-13.53,-10.9,-0.2,6.1,11.65,13.39,16.99,14.96,12.88,6.33,-4.74,-14.21
IA,70,tmin,1986,-7.23,-9.14,-0.21,5.33,11.17,16.99,19.1,14.87,14.76,6.54,-4.23,-5.65
IA,70,tmin,1987,-7.87,-3.93,0.04,4.46,12.57,16.88,18.94,16.59,11.39,1.77,1.32,-4.47
IA,70,tmin,1988,-12.03,-11.45,-3.33,2.42,12.04,17.08,17.82,18.23,12.18,2.19,-1.2,-7.35
IA,70,tmin,1989,-5.61,-14.71,-3.48,4.33,8.82,14.08,18.5,16.35,10.28,5.04,-4.57,-14.61
IA,70,tmin,1990,-5.7,-7.08,-0.56,2.89,8.32,16.62,18.03,17.39,13.63,4.08,0,-10.35
IA,70,tmin,1991,-14.82,-5.52,-1.34,5.79,13.38,17.8,17.79,16.52,11.25,3.98,-5.94,-5.46
IA,70,tmin,1992,-5.65,-3.3,-0.14,2.52,9.45,13.49,16.33,13.8,10.94,4.94,-1.6,-6.79
IA,70,tmin,1993,-12.05,-9.8,-3.42,2.15,10.3,14.47,18.59,18.3,9.11,4.94,-3.53,-6.7
IA,70,tmin,1994,-13.34,-11.84,-2.58,3.28,9.86,16.92,16.05,15.41,11.69,6.8,0.11,-5.86
IA,70,tmin,1995,-10.51,-7,-1.64,2.29,8.42,15.66,18.03,19.71,10.15,5.01,-5.18,-6.95
IA,70,tmin,1996,-13.13,-9.14,-7.03,1.59,10.14,16.09,16.86,16.6,10.59,5.34,-3.84,-9.63
IA,70,tmin,1997,-13.64,-6.44,-2.3,1.25,6.64,15.8,18.25,16.39,12.66,5.49,-3.02,-5.6
IA,70,tmin,1998,-7.61,-1.79,-4.24,4.12,13,14.79,19.21,18.47,14.77,7.06,0.63,-6.42
IA,70,tmin,1999,-10.86,-3.88,-3.05,4.88,10.41,16,20.07,16.15,9.95,2.72,0.18,-7.23
IA,70,tmin,2000,-8.73,-4.87,0.03,2.9,11.28,14.64,18.07,18.71,11.53,7.2,-4.88,-15.77
IA,70,tmin,2001,-10.02,-11.47,-4.66,5.06,11.44,15.04,19.88,17.39,11.14,4.67,3.27,-5.25
IA,70,tmin,2002,-7.95,-6.7,-6.17,3.48,8.39,17.7,19.58,16.94,12.42,3.13,-3.83,-6.91
IA,70,tmin,2003,-11.7,-10.92,-3.38,4.85,8.91,14.06,17.93,17.69,8.71,4.75,-2.14,-5.1
IA,70,tmin,2004,-11.86,-9.72,0.38,3.97,11.02,14.15,16.6,13.95,12.76,5.92,0.15,-7.76
IA,70,tmin,2005,-10.74,-4.91,-3.27,5.13,8.82,17.41,18.56,17.01,13.18,4.8,-1.23,-9.38
IA,70,tmin,2006,-3.58,-8.89,-2.18,5.93,10.54,16.07,18.73,17.72,10.09,4.11,-1.77,-4.98
IA,70,tmin,2007,-10.46,-11.67,1.56,2.56,12.89,16.02,18.36,19.56,11.78,7.73,-2.67,-9.6
IA,70,tmin,2008,-12.12,-11.51,-4.1,1.86,8.44,15.85,18.07,15.66,11.76,5.09,-1.51,-11.48
IA,70,tmin,2009,-13.3,-7.63,-3.13,2.14,10.02,15.86,15.14,15.01,10.74,2.56,0.88,-11.41
IA,70,tmin,2010,-13.38,-12.19,-1.95,6.16,9.63,16.87,19.19,18.51,11.84,4.46,-2.32,-9.94
IA,70,tmin,2011,-13.52,-10.07,-3.06,3.35,9.64,16.38,21.47,17.38,9.27,4.57,-1.75,-6.68
IA,70,tmin,2012,-8.16,-7.01,4.95,5.86,12.29,16.51,20.38,15.18,9.01,3.13,-1.74,-6.96
IA,70,tmin,2013,-9.67,-8.49,-5.2,0.3,9.78,15.67,16.78,16.62,13.64,3.85,-3.9,-12.13
IA,70,tmin,2014,-14.59,-13.49,-6.46,2.25,10.19,16.38,15.36,17.86,11.3,5.31,-6.02,-4.48
IA,70,tmin,2015,-10.46,-13.72,-3.54,4.56,10.23,16.34,17.81,15.82,15.08,6.35,1.08,-3.55
IA,80,ppt,1950,42.47,43.45,17.17,57.73,135.97,148.36,88.37,94.67,31.34,17.81,15.16,10.39
IA,80,ppt,1951,17.71,65.01,111.84,110.84,147.39,160.7,94.28,135.22,53.48,96.11,44.43,20.65
IA,80,ppt,1952,18.4,19.07,90.22,56.69,103.52,167.22,67.54,127.56,28.83,0.01,117.43,28.49
IA,80,ppt,1953,15.71,51.14,91.55,69.28,47.86,130.37,52.66,29.12,25.04,12.49,23.58,31.92
IA,80,ppt,1954,1.93,33.18,45.44,115.72,96.23,113.73,21.93,205.59,39.37,124.91,4.96,17.4
IA,80,ppt,1955,42.21,45.54,23.69,80.29,87.61,88.99,84.29,48.95,97.92,33.39,6.01,7.2
IA,80,ppt,1956,7.35,20.93,11.32,31.78,57.07,61.05,147.3,151.55,30.48,23.97,42.77,13.05
IA,80,ppt,1957,15.74,4.29,67.59,113.18,103.54,105.13,79.04,72.56,85.83,76.3,43.85,33.99
IA,80,ppt,1958,23.52,18.66,15.37,42.18,72.87,80.46,276.03,55.76,115.86,25.01,62.71,3.5
IA,80,ppt,1959,28.5,27.43,90.52,101.52,194.85,86.96,88.31,142.88,157.6,78.39,26.95,54.22
IA,80,ppt,1960,79.4,40.69,49.49,80.37,155.55,139.81,72.78,165.07,94.44,71.37,26,15.08
IA,80,ppt,1961,8.15,54.57,132.91,61.39,51.47,92.84,152.66,58.98,249.89,79.25,117.24,48.03
IA,80,ppt,1962,33.05,47.21,29.25,41.29,155.42,73.12,110.11,87.29,58.22,114.64,29.77,13.08
IA,80,ppt,1963,17.71,12.96,91.63,86.46,86.82,34.1,124.74,114.85,69.81,29.01,42.31,13.16
IA,80,ppt,1964,7.4,11.88,38.13,122.38,96.15,183.43,91.85,104.82,157.04,4.5,33.55,20.48
IA,80,ppt,1965,53.94,24.71,66.97,130.86,96.43,119.21,78.7,99.66,226.63,23.54,35.36,51.23
IA,80,ppt,1966,24.98,10.25,30.26,51.73,123.11,145.03,93.27,55.59,38.08,37.58,14.9,22.66
IA,80,ppt,1967,25.95,15.65,59.46,112.29,96.8,217.43,60.77,24.13,74.58,109.24,13.34,28.99
IA,80,ppt,1968,15.47,5.81,22.32,137.65,56.28,80.38,111.39,80.81,76.64,64.48,43.6,45.71
IA,80,ppt,1969,36.68,23.54,34.57,119.73,103.69,160.37,172.31,71.48,92.31,98.42,4.37,26.76
IA,80,ppt,1970,6.5,2.4,52.43,85.36,103.34,78.28,60.75,187.96,187.27,106.46,39.55,34.17
IA,80,ppt,1971,31.09,39.47,13.18,43.35,99.29,68.47,74.61,37.62,75.92,92.12,91.67,44.4
IA,80,ppt,1972,11.5,14.48,27.18,83.33,130.62,72.09,130.67,103.3,172.15,50.34,80.69,46.04
IA,80,ppt,1973,58.21,50.53,131.38,126.91,166.35,85.09,181.76,83.55,185.57,104.15,49.47,60.27
IA,80,ppt,1974,42.45,19.72,41.28,104.91,164.76,115,64.33,96.36,53.55,98.17,43.05,31.76
IA,80,ppt,1975,32.21,33.51,47.81,78.8,99.45,146.57,11.95,127.93,100.06,4.48,90.98,23.23
IA,80,ppt,1976,6.43,48.46,86.85,166.86,84.1,119.59,88.58,43.76,50.35,48.75,3.8,3.82
IA,80,ppt,1977,15.57,7.95,100.64,55.87,64.82,42.29,70.26,277.64,134.46,148.46,27.57,25.59
IA,80,ppt,1978,15.46,29.14,21.18,144.76,124.7,119.36,143.05,88.54,174.78,32.35,83.69,18.15
IA,80,ppt,1979,47.91,11.85,97.78,86.2,57.73,141.16,101.15,72.65,31.79,91.14,42.6,8.73
IA,80,ppt,1980,37.36,17.21,36.24,39.97,36.84,174.78,68.77,176.35,94.27,64.66,14.89,55.06
IA,80,ppt,1981,0.3,36.7,24.17,99.38,68.04,147.47,178.81,87.68,55.56,54.43,75.66,33.39
IA,80,ppt,1982,45.73,16.84,97.61,69.91,198.14,79.13,227.58,136.06,99.26,92.11,66.01,85.03
IA,80,ppt,1983,19.51,25.53,65.53,81.51,99.01,100.3,20.87,51.22,84.86,114.37,151.39,31.58
IA,80,ppt,1984,13.2,21.43,54.73,142.23,133.98,138.95,120.74,15.37,49.65,122.74,46.83,49.66
IA,80,ppt,1985,19.81,38.99,61.25,19.21,66.98,104.05,116.91,88.3,141.83,106.28,56.25,32.21
IA,80,ppt,1986,0.48,31.54,49.38,109.98,164.42,85.26,159.27,112.36,218.26,87.97,22.27,25.93
IA,80,ppt,1987,9.54,7.71,86.62,57.53,129.91,85.72,142.26,251.72,53.61,20.62,101.22,52.34
IA,80,ppt,1988,7.38,13.96,14.78,26.56,52.56,24.73,48.58,102.11,82.38,9.89,63.8,17.06
IA,80,ppt,1989,26.09,21.18,11.48,28.2,110.65,77.92,94.02,114.67,144.3,65.92,0.68,11.78
IA,80,ppt,1990,34.21,26.19,115.41,75.36,151.57,187.58,184.4,67.22,43.87,65.93,65.27,38
IA,80,ppt,1991,20.96,6.2,111.53,193.73,117.42,78.26,67.17,66.54,45.25,91.93,107.62,44.1
IA,80,ppt,1992,24.33,48.3,52.85,122.98,33.47,29.03,239.87,45.9,260.32,13.64,127.49,50.17
IA,80,ppt,1993,35.43,28.06,70.64,79.03,151.63,151.26,393.09,158.37,143.01,37.31,28.74,17.31
IA,80,ppt,1994,17.1,41.65,3.28,62.31,62.9,133.31,82.72,69.14,68.35,44.95,65.99,37.66
IA,80,ppt,1995,22.55,18.56,54.63,133,203.98,118.31,116.8,52.01,67.05,35.09,51.77,15.87
IA,80,ppt,1996,55.97,13.43,35.26,45.23,268.3,126.71,67.06,85.25,81.23,83.18,54.76,5.91
IA,80,ppt,1997,19.86,69.2,22.95,90.59,124.11,79.28,61.59,82.84,69.1,133,31.38,42.16
IA,80,ppt,1998,18.45,39.65,113.87,89.77,120.35,155.89,84.73,98.52,56.08,129.55,69.8,13.75
IA,80,ppt,1999,20.54,35.25,31,143.47,138.54,111.47,74.81,88.47,68.19,17.73,36.88,14.96
IA,80,ppt,2000,11.31,38.65,21.3,42.39,49.41,203.82,89.18,71.6,76.35,35.91,43.13,45.04
IA,80,ppt,2001,42.52,71.96,56.13,90.14,190.84,137.1,70.25,65.82,120.28,87.41,14.95,19.56
IA,80,ppt,2002,16.1,14.9,37.57,91.74,135.28,57.15,115.13,96.15,36.3,89.97,3.75,1.48
IA,80,ppt,2003,10.8,30.88,21.79,96.52,115.22,135.42,74.7,26.57,117.69,32.14,109.35,37.7
IA,80,ppt,2004,30.06,26.24,92.16,31.75,169.42,86.38,106.08,193.53,25.01,40.81,51.66,15.97
IA,80,ppt,2005,39.9,39.75,22.7,99.89,83.3,120.93,77.21,73.28,41.56,27.85,32,30.64
IA,80,ppt,2006,27.24,5.74,89.12,82.57,69.73,48.1,72.61,184.73,72.99,55.55,47.54,47.32
IA,80,ppt,2007,24.25,53.12,75.78,111.5,166,71.35,53.8,268.06,66.11,132.64,5.76,96.23
IA,80,ppt,2008,18.45,64.42,32.09,138.62,131.55,252.03,253.96,34.67,151.71,85.31,51.26,59.08
IA,80,ppt,2009,10.4,18.8,122.91,106.68,110.63,145.12,92.82,188.9,35.4,137.17,46.78,64.87
IA,80,ppt,2010,34.48,33.48,75.8,115.38,148.74,310.02,220.54,141.1,190.22,27.6,45.28,13.89
IA,80,ppt,2011,29.16,40.3,39.51,104.11,173.75,215.65,39.94,110.47,23.03,10.65,84.81,75.32
IA,80,ppt,2012,9.31,53.84,70.8,105.72,66.68,82.99,21.7,94.71,21.56,100.85,42.19,40.12
IA,80,ppt,2013,29.22,49.19,53.88,187.01,204.39,94.02,54.13,17.86,62.07,71.5,54.17,17.79
IA,80,ppt,2014,6.69,53.71,20.16,148.42,112.86,198.41,76.8,252.5,145.64,93,20.84,22.31
IA,80,ppt,2015,9.52,38.93,13.48,78.96,140.81,209.24,251.75,89.05,121.3,36.97,110.14,129.7
IA,80,tmax,1950,1.76,2.09,6.87,14.01,22.86,26.88,27.53,26.08,25.1,23.4,8.62,-0.15
IA,80,tmax,1951,0.39,2.16,4.7,13.19,23.44,24.5,28.93,28.73,22.55,18,6.54,0.01
IA,80,tmax,1952,1.77,5.92,5.84,17.32,22.57,30.57,30.63,27.75,27.05,18.89,11.19,2.19
IA,80,tmax,1953,1.25,5.54,9.64,13.61,22.14,30.29,31.36,31.39,28.48,23.56,13.25,5.17
IA,80,tmax,1954,1.32,10.76,7.36,19.72,20.42,29.57,34.02,29.33,27.8,17.97,12.57,3.92
IA,80,tmax,1955,-0.19,0.68,9.19,21.33,24.46,26.17,33.22,32.96,28.09,19.63,7.24,1.34
IA,80,tmax,1956,-0.05,2.42,10.06,17.48,25.26,30.91,30.34,29.73,27.01,23.91,9.93,4.39
IA,80,tmax,1957,-2.48,5.3,9.21,15.82,21.96,27.28,32.48,30.26,23.24,16.19,7.74,6.32
IA,80,tmax,1958,0.74,-2.26,6.21,17.22,24.45,26.2,27.35,29.56,25.3,20.91,12.85,1.72
IA,80,tmax,1959,-2.36,1.2,8.76,16.49,23.33,28.63,29.14,30.59,24.39,15.73,6.06,5.59
IA,80,tmax,1960,-0.88,-1.46,-0.21,17.45,22.12,26.17,29.45,29.57,26.15,19.38,12.16,3.03
IA,80,tmax,1961,1.93,5.67,8.74,13.68,20.9,27.5,29.42,29.25,23.37,19.93,9,-0.86
IA,80,tmax,1962,-3.65,0.3,5.11,16.71,27.1,27.32,29.14,29.79,23.76,19.41,10.41,2.91
IA,80,tmax,1963,-5.92,0.44,11.15,18.71,22.04,30.04,30.69,28.62,25.33,25.85,12.9,-2.95
IA,80,tmax,1964,4.64,4.71,8.37,17.86,25.61,27.15,31.26,28.39,23.99,18.72,12.96,1.24
IA,80,tmax,1965,0.24,1.33,1.28,16.33,25.6,26.67,29.46,29.31,23,20.03,12.27,7.75
IA,80,tmax,1966,-3.14,3.32,12.41,15.32,22.19,26.79,31.71,27.56,23.88,20.04,11.59,2.28
IA,80,tmax,1967,2.7,2.39,12.09,17.73,21.16,26.1,29.1,28.14,24.01,17.64,8.65,3.38
IA,80,tmax,1968,-0.49,2.18,14.17,18.3,21.26,29,29.91,29.01,24.31,19.67,7.48,0.73
IA,80,tmax,1969,-2.93,1.72,5.49,17.83,22.97,25.98,30.11,29.56,24.97,16.6,10.92,0.71
IA,80,tmax,1970,-4.23,5.88,6.61,17.94,25,27.55,31.36,29.36,24.39,17.48,8.13,3.59
IA,80,tmax,1971,-2.86,-0.39,7.25,19.15,21.11,30.87,28.87,29.63,26.94,21.84,10.15,2.84
IA,80,tmax,1972,-0.94,1.49,10.44,16.64,22.98,27.99,29.36,28.87,25.19,16.32,5.75,-1.34
IA,80,tmax,1973,-0.23,3.04,11.71,14.83,21.27,28.55,29.39,29.67,23.45,21.12,10,0.3
IA,80,tmax,1974,-1.8,4.02,11.24,18.54,21.73,26.2,33.46,27.35,22.97,18.95,9.48,2.36
IA,80,tmax,1975,0.79,-0.46,4.73,14.64,24.58,27.24,31.11,31.13,22.36,21.12,12.17,3.8
IA,80,tmax,1976,1.16,8.49,10.51,19.1,21.46,27.84,31.16,29.35,25.48,15.42,7.18,1.37
IA,80,tmax,1977,-6.14,4.73,12.81,20.4,26.21,30.07,33.41,28.15,24.81,16.95,9.06,0.04
IA,80,tmax,1978,-5.9,-4.2,5.81,16.52,21.18,28.58,29.72,29.42,27.93,18.11,9.18,1.03
IA,80,tmax,1979,-8.11,-4.23,7.55,14.21,23.14,27.8,29.07,28.99,27.11,19.88,8.66,5.87
IA,80,tmax,1980,0.08,-0.68,6.88,17.7,24.48,28.33,33.31,31.63,25.97,17.47,11.32,3.29
IA,80,tmax,1981,3.47,5.5,12.53,21.67,21.57,28.57,29.01,27.9,25.63,17.83,11.73,1.31
IA,80,tmax,1982,-5.42,0.35,7.8,14.87,23.19,25.04,30.22,27.69,23.64,19.02,9.28,4.85
IA,80,tmax,1983,1.62,4.8,8.92,11.99,20.69,27.89,33.25,35.14,27.24,18.06,9.87,-7.5
IA,80,tmax,1984,-1.07,7.69,3.8,13.99,20.44,28.32,30.04,31.41,24.82,18.37,10.97,5.18
IA,80,tmax,1985,-2.54,-0.84,12.52,19.51,24.23,26.48,30.33,26.91,24.43,17.34,4.97,-3.78
IA,80,tmax,1986,3.44,-0.31,12.47,19.25,22.86,29.11,30.65,26.41,25.66,17.38,7.28,2.24
IA,80,tmax,1987,2.01,8.72,12.11,19.65,25.86,29.5,30.73,28.03,24.46,16.34,11.26,3.26
IA,80,tmax,1988,-0.24,0.63,12.09,18.19,26.31,31.48,32.24,32.56,26.27,15.8,10.76,4.8
IA,80,tmax,1989,6.01,-3.07,9.21,18.29,22.4,26.2,30.47,28.85,22.66,19.26,9.86,-2.89
IA,80,tmax,1990,5.5,5.69,10.74,15.99,19.58,26.92,28.42,28.46,26.82,18.35,13.48,0.81
IA,80,tmax,1991,-3.72,6.48,12.49,17.9,23.66,28.54,29.99,29.16,25.4,18.45,3.85,4.1
IA,80,tmax,1992,3.87,6.54,11.75,14.63,22.83,26.81,26.93,25.41,22.8,18.36,5.11,1.8
IA,80,tmax,1993,-1.85,-1.87,5.8,13.77,21.55,25.76,27.6,28.57,20.69,16.53,7.56,3.13
IA,80,tmax,1994,-4.02,-0.1,11.52,17.74,22.43,27.36,28.15,28.29,24.58,18.97,10.57,4.28
IA,80,tmax,1995,-2,4.28,9.94,14.4,18.8,26.13,29.71,31.14,23.15,18.2,6.3,1.16
IA,80,tmax,1996,-1.66,1.81,6.39,15.99,19.35,26.16,28.39,27.55,22.59,18.66,4.6,0.33
IA,80,tmax,1997,-2.17,2.14,11.31,13.39,19.36,27.67,30,27.61,25.05,17.8,6.34,1.5
IA,80,tmax,1998,1.19,6.62,4.65,15.71,23.92,25.19,29.34,29.33,27.64,18.74,11.03,4.98
IA,80,tmax,1999,-2.16,6.63,8.85,16.08,21.25,26.1,31.28,27.9,24.2,19.1,15.42,4.01
IA,80,tmax,2000,2.27,7.19,13.18,17.51,24.11,26.16,27.94,29.25,26.39,19.77,6.08,-5.98
IA,80,tmax,2001,-0.52,-1.22,4.47,19.52,21.54,25.45,29.9,29.47,23.09,17.24,15.65,6.14
IA,80,tmax,2002,5.06,5.53,7.73,16.54,20.46,28.65,31,28.42,26.76,14.77,7.95,5.62
IA,80,tmax,2003,-0.51,0.62,8.84,17.33,21.31,25.53,29.75,31.55,23.55,19.92,8.29,4.02
IA,80,tmax,2004,-1.59,1.02,10.82,18.34,22.61,25.14,26.91,25.43,26.16,17.59,10.72,3.8
IA,80,tmax,2005,-1.47,5.9,9.61,18.44,21.49,28.47,30.63,29.1,27.45,18.65,11.51,-1.11
IA,80,tmax,2006,6.05,4.25,9,19.73,21.96,27.85,31.35,28.43,22.09,15.38,11.45,6.44
IA,80,tmax,2007,0.85,-2.77,12.83,14.88,24.18,27.33,29.83,30.32,25.37,19.67,10.36,-0.56
IA,80,tmax,2008,-1.89,-2.24,7.53,13.91,21.05,26.84,28.49,27.79,23.58,17.47,9.19,-0.28
IA,80,tmax,2009,-2.56,4.87,10.08,14.76,21.73,26.79,26.21,26.56,24,12.6,12.51,-0.92
IA,80,tmax,2010,-5.27,-2.23,8.86,20.27,21.24,28.16,29.42,29.98,24.26,20.65,10.55,-0.52
IA,80,tmax,2011,-3.31,1.24,8.65,15.57,21.64,26.66,31.93,29.21,22.81,20.23,10.81,4.72
IA,80,tmax,2012,4.15,4.84,17.93,18.81,25.47,28.55,34.71,30.15,25.45,17.15,11.64,4.39
IA,80,tmax,2013,2.52,1.72,4.19,13.71,21.12,26.01,28.69,29.23,27.41,17.35,7.89,-0.98
IA,80,tmax,2014,-1.32,-3.58,6.38,16.74,22.09,27.08,26.76,27.22,23.21,17.79,5.44,2.65
IA,80,tmax,2015,1.51,-2.67,11.32,18.11,21.27,26.58,28.3,26.81,27.08,18.64,12.54,5.97
IA,80,tmean,1950,-4.67,-3.55,1.08,7.45,16.49,20.78,21.3,20.29,17.97,15.65,2.09,-5.59
IA,80,tmean,1951,-5.12,-3.06,-0.66,7.77,17.08,19.04,23,22.52,16.36,12.22,0.73,-5.07
IA,80,tmean,1952,-4.13,1.11,1,10.48,16.25,24.22,24.3,21.75,19.13,10.05,4.75,-1.87
IA,80,tmean,1953,-3.4,0.12,4.05,7.66,15.99,23.76,24.69,23.9,19.79,15.68,6.47,-0.41
IA,80,tmean,1954,-5.26,4.23,1.71,12.8,13.8,23.55,26.92,23.66,20.63,12.52,6.34,-0.64
IA,80,tmean,1955,-4.99,-4.74,2.75,14.41,17.82,19.8,26.92,25.47,20.52,12.62,0.76,-4.42
IA,80,tmean,1956,-5.19,-3.03,3.24,9.69,18.13,23.95,23.73,23.55,18.89,16.22,4.24,-0.96
IA,80,tmean,1957,-7.89,0.11,3.06,10.25,15.92,21.16,26.17,23.69,16.84,10.51,3.08,0.96
IA,80,tmean,1958,-3.68,-7.83,1.68,10.61,17.38,20.04,21.98,23.33,19.03,13.57,6.59,-4.03
IA,80,tmean,1959,-7.75,-3.8,3.4,10.18,17.73,22.31,22.7,24.99,18.46,10.11,0.32,1.44
IA,80,tmean,1960,-5.29,-5.89,-5.49,11.53,15.78,20.38,23.12,23.49,19.67,12.62,5.65,-2.54
IA,80,tmean,1961,-4.66,-0.04,4.03,7.77,14.5,20.96,23.28,22.81,17.44,13.2,4.12,-5.62
